CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,District,Neighborhood,Total Incidents
07/06/2019,01:30:00,5B,0 HILLSIDE RD,BURGLARY,NA,NORTHERN,ROLAND PARK,1
07/06/2019,09:00:00,7A,1600 APPLETON ST,AUTO THEFT,NA,WESTERN,EASTERWOOD,1
07/06/2019,07:03:00,6E,2500 EDGECOMBE CIR N,LARCENY,NA,NORTHERN,PARKLANE,1
07/06/2019,02:30:00,3AK,PL & N HIGHLAND AV,ROBBERY - STREET,KNIFE,SOUTHEAST,,1
07/06/2019,10:05:00,6C,700 WASHINGTON BLVD,LARCENY,NA,SOUTHERN,WASHINGTON VILLAGE,1
07/06/2019,19:00:00,4B,2100 32ND ST,AGG. ASSAULT,KNIFE,NORTHEAST,,1
07/06/2019,17:31:00,4C,3000 GLENMORE AVE,AGG. ASSAULT,OTHER,NORTHEAST,,1
07/06/2019,16:38:00,4C,3700 2ND ST,AGG. ASSAULT,OTHER,SOUTHERN,BROOKLYN,1
07/06/2019,15:21:00,4E,1700 RUSSELL ST,COMMON ASSAULT,NA,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,1
07/06/2019,15:40:00,5A,3800 5TH ST,BURGLARY,NA,SOUTHERN,BROOKLYN,1
07/06/2019,02:17:00,3B,0 S CONKLING ST,ROBBERY - STREET,NA,SOUTHEAST,HUDSON-HIGHLANDTOWN,1
07/06/2019,08:15:00,5C,3800 W BELVEDERE AVE,BURGLARY,NA,NORTHWEST,ARLINGTON,1
07/06/2019,17:08:00,4E,5500 REISTERSTOWN RD,COMMON ASSAULT,NA,NORTHWEST,WOODMERE,1
07/06/2019,19:00:00,6E,2500 W COLD SPRING LN,LARCENY,NA,NORTHERN,GREENSPRING,1
07/06/2019,19:02:00,6J,NORTH AV & N GAY ST,LARCENY,NA,EASTERN,,1
07/06/2019,00:00:00,6E,1200 S CAREY ST,LARCENY,NA,SOUTHERN,WASHINGTON VILLAGE,1
07/06/2019,18:00:00,6J,1800 N CHARLES ST,LARCENY,NA,CENTRAL,CHARLES NORTH,1
07/06/2019,19:15:00,4E,AV & N CAROLINE ST,COMMON ASSAULT,NA,EASTERN,,1
07/06/2019,20:53:00,6C,700 WASHINGTON BLVD,LARCENY,NA,SOUTHERN,WASHINGTON VILLAGE,1
07/06/2019,19:15:00,6C,5600 THE ALAMEDA,LARCENY,NA,NORTHERN,GLEN OAKS,1
07/06/2019,19:00:00,5A,2400 LOYOLA NORTHWAY,BURGLARY,NA,NORTHERN,GREENSPRING,1
07/06/2019,20:55:00,3AK,3100 N CALVERT ST,ROBBERY - STREET,KNIFE,NORTHERN,CHARLES VILLAGE,1
07/06/2019,14:10:00,4E,200 N HOWARD ST,COMMON ASSAULT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,11:00:00,3AF,800 W LEXINGTON ST,ROBBERY - STREET,FIREARM,WESTERN,POPPLETON,1
07/06/2019,11:31:00,5A,1600 BOLTON ST,BURGLARY,NA,CENTRAL,BOLTON HILL,1
07/06/2019,08:00:00,7A,0 E PLEASANT ST,AUTO THEFT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,23:15:00,4E,2000 DEERING AVE,COMMON ASSAULT,NA,SOUTHWEST,,1
07/06/2019,02:17:00,4D,2600 WASHINGTON BLVD,AGG. ASSAULT,HANDS,SOUTHWEST,MORRELL PARK,1
07/06/2019,10:27:00,4A,2600 WASHINGTON BLVD,AGG. ASSAULT,FIREARM,SOUTHWEST,MORRELL PARK,1
07/06/2019,21:05:00,4D,1900 N FOREST PARK AVE,AGG. ASSAULT,HANDS,SOUTHWEST,FRANKLINTOWN,1
07/06/2019,21:05:00,4D,1900 N FOREST PARK AVE,AGG. ASSAULT,HANDS,SOUTHWEST,FRANKLINTOWN,1
07/06/2019,01:30:00,4B,2400 SAINT PAUL ST,AGG. ASSAULT,KNIFE,NORTHERN,CHARLES VILLAGE,1
07/06/2019,02:50:00,3AF,3600 FALLS RD,ROBBERY - STREET,FIREARM,NORTHERN,HAMPDEN,1
07/06/2019,03:15:00,3GF,3600 KESWICK RD,ROBBERY - COMMERCIAL,FIREARM,NORTHERN,WYMAN PARK,1
07/06/2019,00:40:00,4E,2500 EDGECOMBE CIR N,COMMON ASSAULT,NA,NORTHERN,PARKLANE,1
07/06/2019,10:42:00,4E,200 E BALTIMORE ST,COMMON ASSAULT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,07:30:00,7A,0 W BALTIMORE ST,AUTO THEFT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,18:00:00,4E,2100 W BALTIMORE ST,COMMON ASSAULT,NA,WESTERN,LANGSTON HUGHES,1
07/06/2019,18:15:00,4D,900 N MONROE ST,AGG. ASSAULT,HANDS,WESTERN,MIDTOWN EDMONDSON,1
07/06/2019,16:54:00,7A,1400 WHITELOCK ST,AUTO THEFT,NA,WESTERN,PENN NORTH,1
07/06/2019,13:15:00,6J,NORTH AV & PENNSYLVANIA AV,LARCENY,NA,WESTERN,,1
07/06/2019,00:40:00,4E,100 N MONASTERY AVE,COMMON ASSAULT,NA,SOUTHWEST,ALLENDALE,1
07/06/2019,13:33:00,6D,700 E PRATT ST,LARCENY FROM AUTO,NA,CENTRAL,INNER HARBOR,1
07/06/2019,02:00:00,7C,6000 AMBERWOOD RD,AUTO THEFT,NA,NORTHEAST,FRANKFORD,1
07/06/2019,07:43:00,7A,0 S EAST AVE,AUTO THEFT,NA,SOUTHEAST,BALTIMORE-LINWOOD,1
07/06/2019,12:00:00,7A,300 BLK S PATTERSON PARK AV,AUTO THEFT,NA,SOUTHEAST,,1
07/06/2019,20:30:00,4E,1600 WOODBOURNE AVE,COMMON ASSAULT,NA,NORTHEAST,,1
07/06/2019,17:08:00,4E,1300 W LOMBARD ST,COMMON ASSAULT,NA,SOUTHERN,UNION SQUARE,1
07/06/2019,01:00:00,4C,3000 S HANOVER ST,AGG. ASSAULT,OTHER,SOUTHERN,MIDDLE BRANCH/REEBIRD PARKS,1
07/06/2019,13:39:00,6G,1000 W 41ST ST,LARCENY,NA,NORTHERN,HOES HEIGHTS,1
07/06/2019,03:00:00,3AF,3700 FALLS RD,ROBBERY - STREET,FIREARM,NORTHERN,HAMPDEN,1
07/06/2019,13:00:00,3AF,3900 GREENWAY,ROBBERY - STREET,FIREARM,NORTHERN,GUILFORD,1
